M,7,Arda Turan,29,6,2,2,6,2,3,15,13,0,0
M,6,Denis Suarez,22,5,5,0,7,3,2,9,7,0,0
M,4,Ivan Rakitic,28,8,1,2,18,6,1,6,8,1,0
M,8,Andres Iniesta,32,3,2,0,3,1,2,3,6,0,0
M,21,Andre Gomes,23,3,4,0,3,0,0,10,7,0,0
M,5,Sergio Busquets,28,9,0,0,1,0,0,7,8,3,0
M,23,Rafinha,23,5,2,5,6,5,0,3,12,0,0
F,11,Neymar,24,34,0,4,28,8,4,8,42,4,0
F,9,Luis Suarez,29,10,1,8,35,16,3,9,16,5,0
F,10,Lionel Messi,29,7,2,8,46,19,3,4,17,3,0
F,17,Paco Alcacer,23,2,5,0,7,4,0,3,1,0,0
D,27,Aleix Vidal,27,1,0,0,2,1,0,0,1,0,0
D,23,Samuel Umtiti,22,6,0,0,3,1,0,6,8,1,0
D,20,Sergi Roberto,24,8,0,0,2,0,4,7,6,2,0
D,3,Gerard Pique,29,7,0,2,9,3,0,9,3,1,0
D,24,Jeremy Mathieu,33,4,0,1,3,1,0,3,1,0,0
D,14,Javier Mascherano,32,7,1,0,2,0,0,7,13,2,0
D,19,Lucas Digne,23,6,1,0,2,1,0,9,4,2,0
D,18,Jordi Alba,27,5,0,0,1,0,1,3,2,1,0
